,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
32,32,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5491898148148148,0.28571428571428575,0.8333333333333334,0.20833333333333334,0.20833333333333334
33,33,Full on missing values,False,0,0.5,0,0.5625,0.5277777777777778,0.3125,0.9166666666666666,0.20833333333333334,0.20833333333333334
34,34,Full on missing values,False,0,0.5,0,0.5069444444444444,0.4444444444444445,0.2777777777777778,0.8055555555555556,0.20833333333333334,0.20833333333333334
35,35,Full on missing values,False,0,0.5,0,0.6041666666666666,0.6325231481481481,0.4117647058823529,0.9166666666666666,0.2916666666666667,0.2916666666666667
36,36,Full on missing values,False,0,0.5,0,0.6044685990338164,0.6256038647342995,0.4444444444444444,0.8611111111111112,0.34782608695652173,0.34782608695652173
37,37,Full on missing values,False,0,0.5,0,0.5809178743961353,0.6346618357487921,0.3333333333333333,0.9444444444444444,0.21739130434782608,0.21739130434782608
38,38,Full on missing values,False,0,0.5,0,0.5096618357487922,0.5935990338164251,0.2,0.8888888888888888,0.13043478260869565,0.13043478260869565
39,39,Full on missing values,False,0,0.5,0,0.5,0.4311594202898551,0.0,1.0,0.0,0.0
40,40,Full on missing values,False,0,0.5,0,0.5058754406580493,0.5193889541715628,0.24242424242424243,0.8378378378378378,0.17391304347826086,0.17391304347826086
41,41,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5260416666666667,0.28571428571428575,0.8333333333333334,0.20833333333333334,0.20833333333333334
42,42,Full on missing values,False,0,0.5,0,0.5763888888888888,0.5787037037037036,0.3225806451612903,0.9444444444444444,0.20833333333333334,0.20833333333333334
43,43,Full on missing values,False,0,0.5,0,0.5,0.5740740740740741,0.13793103448275862,0.9166666666666666,0.08333333333333333,0.08333333333333333
44,44,Full on missing values,False,0,0.5,0,0.4097222222222222,0.47164351851851855,0.15789473684210525,0.6944444444444444,0.125,0.125
45,45,Full on missing values,False,0,0.5,0,0.4513888888888889,0.5086805555555556,0.17142857142857143,0.7777777777777778,0.125,0.125
46,46,Full on missing values,False,0,0.5,0,0.5392512077294687,0.5839371980676328,0.30303030303030304,0.8611111111111112,0.21739130434782608,0.21739130434782608
47,47,Full on missing values,False,0,0.5,0,0.5,0.6582125603864735,0.0,1.0,0.0,0.0
48,48,Full on missing values,False,0,0.5,0,0.5531400966183575,0.6292270531400965,0.3125,0.8888888888888888,0.21739130434782608,0.21739130434782608
49,49,Full on missing values,False,0,0.5,0,0.4818840579710145,0.5108695652173914,0.18750000000000003,0.8333333333333334,0.13043478260869565,0.13043478260869565
50,50,Full on missing values,False,0,0.5,0,0.5035252643948296,0.5334900117508813,0.34146341463414637,0.7027027027027027,0.30434782608695654,0.30434782608695654
51,51,Full on missing values,False,0,0.5,0,0.5555555555555556,0.5150462962962963,0.26666666666666666,0.9444444444444444,0.16666666666666666,0.16666666666666666
52,52,Full on missing values,False,0,0.5,0,0.47222222222222227,0.5196759259259258,0.12903225806451613,0.8611111111111112,0.08333333333333333,0.08333333333333333
53,53,Full on missing values,False,0,0.5,0,0.5208333333333334,0.48958333333333326,0.28571428571428575,0.8333333333333334,0.20833333333333334,0.20833333333333334
54,54,Full on missing values,False,0,0.5,0,0.5486111111111112,0.5578703703703703,0.3684210526315789,0.8055555555555556,0.2916666666666667,0.2916666666666667
55,55,Full on missing values,False,0,0.5,0,0.5,0.49479166666666663,0.13793103448275862,0.9166666666666666,0.08333333333333333,0.08333333333333333
